"Username","participant ethnicity","Response.RT","Response.JOL","Stimuli.Stimuli.Notes_2.1","Stimuli.Stimuli.Notes_3.1","key.1","Target_Ethnicity","scored"
"5977986837d15f00016f1d08","White",3259,"26","M","H","OLD","B",1
"5977986837d15f00016f1d08","White",3210,"46","M","L","OLD","W",1
"5977986837d15f00016f1d08","White",3453,"56","M","L","OLD","W",0
"59c22487cb3cd4000101d12c","Black",4669,"80","M","H","OLD","W",1
"59c22487cb3cd4000101d12c","Black",4817,"90","M","H","OLD","W",1
"59c22487cb3cd4000101d12c","Black",4209,"30","M","H","OLD","W",1
"59c22487cb3cd4000101d12c","Black",5664,"90","F","L","OLD","B",1
"59c22487cb3cd4000101d12c","Black",7249,"60","M","H","OLD","B",1
"59c22487cb3cd4000101d12c","Black",5372,"60","M","L","OLD","W",0
"59c22487cb3cd4000101d12c","Black",6532,"80","F","L","OLD","B",1
"59c22487cb3cd4000101d12c","Black",4315,"20","F","H","OLD","W",0
"59c22487cb3cd4000101d12c","Black",4622,"60","M","H","OLD","B",1
"59c22487cb3cd4000101d12c","Black",6003,"80","M","H","OLD","B",0
"59c22487cb3cd4000101d12c","Black",4659,"20","F","H","OLD","W",0
"59c22487cb3cd4000101d12c","Black",5919,"80","F","L","OLD","B",0
"59c22487cb3cd4000101d12c","Black",4636,"100","F","H","OLD","B",1
"59c22487cb3cd4000101d12c","Black",4544,"30","F","L","OLD","B",1
"59c22487cb3cd4000101d12c","Black",5044,"10","M","L","OLD","W",0
"59c22487cb3cd4000101d12c","Black",4566,"30","M","L","OLD","W",1
"59c22487cb3cd4000101d12c","Black",4578,"40","F","H","OLD","W",1
"59c22487cb3cd4000101d12c","Black",5473,"90","F","L","OLD","W",0
"59c22487cb3cd4000101d12c","Black",5402,"10","M","H","OLD","B",1
"59c22487cb3cd4000101d12c","Black",4539,"90","F","L","OLD","B",1
"59c22487cb3cd4000101d12c","Black",4640,"60","M","H","OLD","W",1
"59c22487cb3cd4000101d12c","Black",5290,"90","F","L","OLD","B",1
"59c22487cb3cd4000101d12c","Black",4365,"20","F","H","OLD","W",1
"59c22487cb3cd4000101d12c","Black",5385,"90","M","H","OLD","B",1
"59c22487cb3cd4000101d12c","Black",5206,"70","F","L","OLD","W",0
